Time,vcu.INS.vz
616310551,-0.0398398712277412
616313021,-0.0397685058414936
616315670,-0.0398556888103485
616318325,-0.0398839563131332
616320665,-0.03991973772645
616322989,-0.0399510115385056
616325710,-0.0399610809981823
616328329,-0.0400723367929459
616330601,-0.0402185879647732
616333010,-0.0401844568550587
616335726,-0.0401252880692482
616338337,-0.0401020310819149
616340553,-0.0402038097381592
616343035,-0.0402149111032486
616345773,-0.040228046476841
616348342,-0.0402178168296814
616350580,-0.0401992499828339
616353035,-0.0400693826377392
616355820,-0.0401005409657955
616358375,-0.0400960706174374
616360560,-0.0401519536972046
616363014,-0.0402113497257233
616365592,-0.040228858590126
616380553,-0.0391357094049454
616382991,-0.0392798893153667
616385927,-0.0393369048833847
616388390,-0.0393262170255184
616390627,-0.0394116640090942
616400553,-0.0395879596471787
616403165,-0.0395858623087406
616405661,-0.0395500473678112
616408432,-0.0396001040935516
616410604,-0.0395971797406673
616413023,-0.0396899282932281
616415614,-0.0398259274661541
616418080,-0.0399053171277046
616440567,-0.0401098877191544
616442999,-0.0400306209921837
616445809,-0.0401230938732624
616460555,-0.0402910150587559
616462988,-0.0402225963771343
616465704,-0.0402911156415939
616468091,-0.0403320975601673
616470554,-0.0402985028922558
616480553,-0.040315069258213
616482992,-0.0404091440141201
616485853,-0.0404999293386936
616488085,-0.0405438467860222
616500553,-0.0403096936643124
616503084,-0.0403766743838787
616505609,-0.0404830425977707
616508082,-0.0404807776212692
616510552,-0.0404565259814262
616513028,-0.040507759898901
616515613,-0.0405614376068115
616518083,-0.0405993945896626
616520665,-0.0406005643308163
616522989,-0.0405801609158516
616525624,-0.0405780337750912
616540578,-0.0410067327320576
616543004,-0.0409423783421516
616545581,-0.0408845692873001
616560669,-0.0418461412191391
616562992,-0.0419066213071346
616565620,-0.0420243889093399
616580554,-0.0422560386359692
616582984,-0.0423081815242767
616585829,-0.0423804521560669
616588057,-0.042415514588356
616600553,-0.0424396172165871
616603106,-0.0424780920147896
616605708,-0.0425165928900242
616608077,-0.0424096621572971
616613028,-0.0422462932765484
616615609,-0.0422337390482426
616618082,-0.0422253645956516
616620749,-0.0422206930816174
616622981,-0.0422701798379421
616685824,-0.0428118966519833
616688058,-0.0429750420153141
616713016,-0.0431351363658905
616730579,-0.0431507751345634
616733036,-0.0430697947740555
616735600,-0.0430841483175755
616738240,-0.0429926812648773
616743043,-0.0430190563201904
616748111,-0.0427031554281712
616750612,-0.0426730252802372
616753025,-0.0426850616931915
616755695,-0.0427534729242325
616758077,-0.0427982471883297
616760621,-0.0428842082619667
616762985,-0.0428884401917458
616765621,-0.0429107211530209
616768125,-0.0429373569786549
616770627,-0.0429688356816769
616773045,-0.0430128611624241
616775609,-0.0430860742926598
616778122,-0.0432017147541046
616780633,-0.0431777015328407
616783017,-0.0431861579418182
616785823,-0.0431028343737125
616788057,-0.0432219952344894
616790668,-0.0432780534029007
616793034,-0.0433981493115425
616803085,-0.043605849146843
616805684,-0.0436328314244747
616808060,-0.0437689274549484
616810680,-0.0437838360667229
616813120,-0.0438239350914955
616815729,-0.0439069010317326
616818082,-0.0438272356987
616843063,-0.0433399453759193
616845610,-0.043445959687233
616848082,-0.043292336165905
616850646,-0.0432178750634193
616860678,-0.0433029681444168
616863012,-0.0433018878102303
616865691,-0.0434246212244034
616868199,-0.043503288179636
616878092,-0.0439966395497322
616880694,-0.0440325327217579
616883011,-0.04413977637887
616885998,-0.0442327000200748
616888253,-0.0443821400403976
616900702,-0.0449713692069054
616903087,-0.0450640618801117
616905616,-0.0450473204255104
616908265,-0.0452458299696445
616910737,-0.0453411042690277
616913073,-0.045300580561161
616915590,-0.0453448295593262
616918273,-0.0453260280191898
616920744,-0.045249342918396
616940784,-0.0448115132749081
616943064,-0.0448974072933197
616945634,-0.044793389737606
616960555,-0.0430533699691296
616962991,-0.0429951027035713
616980552,-0.0428330786526203
616982990,-0.0428634509444237
616985846,-0.0428971648216248
616988081,-0.04286228120327
617000553,-0.0432756729424
617003087,-0.0433113537728786
617005790,-0.0434679314494133
617008210,-0.0434568636119366
617010553,-0.0436333529651165
617012972,-0.0437526293098927
617015611,-0.0439253970980644
617018177,-0.0439971163868904
617020794,-0.0440179407596588
617022928,-0.0440778397023678
617025651,-0.0441022217273712
617040586,-0.0442381426692009
617043022,-0.0441859066486359
617045685,-0.0442292094230652
617048234,-0.044349167495966
617060490,-0.043992891907692
617062932,-0.0439383611083031
617065725,-0.0439308434724808
617080490,-0.0435172393918037
617082927,-0.043563287705183
617085783,-0.0433907397091389
617088330,-0.0432786494493485
617100491,-0.0433169342577457
617103025,-0.0432893037796021
617105774,-0.0432228706777096
617110491,-0.0431457683444023
617112946,-0.0431611388921738
617115778,-0.0432802066206932
617118378,-0.0433226078748703
617120602,-0.0433398559689522
617122940,-0.0433793924748898
617143040,-0.0438130982220173
617145739,-0.0438372381031513
617163094,-0.0441198982298374
617165749,-0.0442598797380924
617168435,-0.0442030318081379
617178440,-0.0441416352987289
617180491,-0.0442466884851456
617182928,-0.0443542711436749
617185788,-0.0443383790552616
617188025,-0.0442652069032192
617200493,-0.0440860725939274
617203022,-0.0439999848604202
617205800,-0.0439724363386631
617212965,-0.0438208356499672
617215549,-0.0438745431602001
617218020,-0.0439328886568546
617240576,-0.0436797067523003
617243015,-0.0436821058392525
617245611,-0.0436189211905003
617247997,-0.0436414740979671
617250507,-0.0437316372990608
617252926,-0.0437990836799145
617260491,-0.0436835289001465
617262925,-0.0437115915119648
617265563,-0.0437003113329411
617268095,-0.0437035299837589
617280489,-0.0439380332827568
617282924,-0.0440034195780754
617285904,-0.0441613420844078
617288015,-0.0443133749067783
617290562,-0.0444327406585217
617300512,-0.0446106679737568
617303001,-0.044597040861845
617305689,-0.0445472225546837
617307984,-0.044506773352623
617310513,-0.0445207469165325
617312965,-0.0445969700813293
617315547,-0.044550895690918
617317995,-0.044565424323082
617320671,-0.0446362793445587
617322903,-0.044524785131216
617340491,-0.0442445762455463
617342966,-0.0441630445420742
617345607,-0.0442244745790958
617360496,-0.0443334989249706
617363022,-0.044273778796196
617370469,-0.0442539192736149
617378110,-0.0444380827248096
617380490,-0.044397097080946
617382920,-0.0442601405084133
617385782,-0.0443658605217934
617388163,-0.044364906847477
617400517,-0.0442456230521202
617402991,-0.044305469840765
617405542,-0.0444209910929203
617408225,-0.0444740876555443
617410493,-0.0445967018604279
617412953,-0.0445422492921352
617415545,-0.0445184484124184
617418268,-0.0445558093488216
617420690,-0.0445387288928032
617440523,-0.0447313487529755
617442993,-0.044743973761797
617445599,-0.0447873659431934
617460493,-0.0447004102170467
617462925,-0.0447979457676411
617465561,-0.0447668321430683
617480499,-0.0451413877308369
617482924,-0.0451772063970566
617485758,-0.0452629886567593
617487993,-0.0453025139868259
617500520,-0.045480839908123
617503032,-0.0456292852759361
617505601,-0.0456901974976063
617507987,-0.0457567498087883
617510517,-0.0458037964999676
617512924,-0.0457809418439865
617515614,-0.0457450598478317
617517996,-0.0457329228520393
617542927,-0.0458865463733673
617545643,-0.0458738282322884
617547996,-0.0458240285515785
617560523,-0.0452365539968014
617562923,-0.0452833585441113
617582923,-0.045195147395134
617600523,-0.0451335050165653
617610564,-0.0453534834086895
617612955,-0.0455109365284443
617615551,-0.0456346496939659
617640497,-0.0464136675000191
617658172,-0.0466478243470192
617660501,-0.0467390418052673
617662925,-0.0467643700540066
617665598,-0.0467418506741524
617668217,-0.0467269010841846
617680501,-0.0466031618416309
617682926,-0.0465166680514812
617685760,-0.0465032756328583
617700486,-0.0463066138327122
617703018,-0.0462130717933178
617705613,-0.046076450496912
617708030,-0.0461501255631447
617710501,-0.0461977794766426
617712949,-0.0462335795164108
617715545,-0.0462366491556168
617740463,-0.0466054826974869
617743015,-0.0466799363493919
617745550,-0.0467798300087452
617760444,-0.0471638441085815
617762981,-0.0455885119736195
617780471,-0.0457820110023022
617782920,-0.0457874536514282
617785689,-0.0458373725414276
617788018,-0.0459189005196095
617790518,-0.0459396615624428
617800544,-0.0460476540029049
617803025,-0.0460333488881588
617805613,-0.0460540801286697
617810488,-0.0460871495306492
617812925,-0.0461933948099613
617815661,-0.0463060028851032
617818017,-0.0463018044829369
617840490,-0.0461454093456268
617842983,-0.0461474098265171
617845530,-0.0461304634809494
617848016,-0.0462660491466522
617860510,-0.0461205765604973
617862927,-0.0461106933653355
617880439,-0.0462126918137074
617882924,-0.0463075488805771
617885761,-0.0462953858077526
617888197,-0.0463407523930073
617900521,-0.0467643812298775
