Time,vcu.INS.vx
702183171,0.00420126039534807
702185735,0.00417320430278778
702200711,0.00366446794942021
702203181,0.00351321999914944
702205990,0.00350324623286724
702220779,0.00324491644278169
702223246,0.00327456160448492
702225814,0.00329996831715107
702228463,0.00327916094101965
702240906,0.00327346916310489
702243295,0.00325718498788774
702245854,0.00325385667383671
702248359,0.00337390904314816
702263355,0.0038634124211967
702265822,0.00380759965628386
702280818,0.00420700013637543
702283166,0.00426857080310583
702300854,0.00438702665269375
702303138,0.0043726465664804
702305995,0.00430448027327657
702320865,0.00417565740644932
702323178,0.00420352490618825
702325760,0.00429111206904054
702340906,0.00413481565192342
702360681,0.00385382585227489
702363330,0.00399771705269814
702365794,0.00399051420390606
702368449,0.00394374504685402
702380691,0.00285455933772027
702383157,0.00282139074988663
702385854,0.00276195304468274
702388519,0.00281948712654412
702400699,0.00275485520251095
702403138,0.00278593157418072
702405949,0.00283690495416522
702420759,0.00268138293176889
702423179,0.00263714231550694
702441021,0.00270338985137641
702443169,0.00276041426695883
702445829,0.0028145769611001
702448572,0.00283664092421532
702458689,0.00283034890890121
702460811,0.00283136451616883
702463187,0.00286703370511532
702465766,0.00296407006680965
702481120,0.00302251172251999
702483177,0.00294694188050926
702501123,0.0031151280272752
702503185,0.00313566019758582
702505899,0.0031890484970063
702521176,0.00337193580344319
702523231,0.00325749628245831
702525761,0.00328381848521531
702528725,0.00334609067067504
702535847,0.003332553897053
702538819,0.00335622462444007
702560862,0.00217223144136369
702563276,0.00213287328369915
702565820,0.00210146745666862
702580894,0.0018217321485281
702583347,0.00182912428863347
702585842,0.00177849386818707
702588890,0.0018432984361425
702600946,0.00195918558165431
702603409,0.00198219111189246
702605993,0.00199407944455743
702621494,0.00213514943607152
702623420,0.0021246422547847
702625759,0.00209185481071472
702628225,0.00207724468782544
702641387,0.002351313829422
702643460,0.00245018233545125
702645751,0.00250791804865003
702661334,0.0027624957729131
702663392,0.00276548066176474
702681355,0.00287318089976907
702683136,0.00298755010589957
702685809,0.00302860769443214
702701427,0.00312222214415669
702703187,0.00309768971055746
702705991,0.00316964089870453
702721532,0.00283873453736305
702723504,0.00279854563996196
702741589,0.0023343765642494
702743237,0.00229271128773689
702745835,0.00233271857723594
702748208,0.00232177414000034
702760764,0.00803519878536463
702763633,0.00804804172366858
702765934,0.0080309109762311
702768167,0.00805883388966322
702770805,0.00810085702687502
702780844,0.0081046000123024
702783204,0.00818325579166412
702785822,0.00829147733747959
702788310,0.00824778061360121
702820926,0.00858903955668211
702823230,0.00870379898697138
702825761,0.00870487559586763
702828228,0.00867371819913387
702843161,0.0085214339196682
702845792,0.00847394298762083
702848411,0.00853801611810923
702860781,0.00850510038435459
702863187,0.00851552374660969
702880862,0.00850275252014399
702883135,0.00848412793129683
702900775,0.00878807809203863
702903133,0.00873457081615925
702906045,0.00864349957555532
702920967,0.00852520391345024
702943222,0.00844177417457104
702945764,0.0084377396851778
702948412,0.00836893916130066
702950981,0.00832110922783613
702953153,0.00832245033234358
702960817,0.00630303844809532
702963208,0.00639495765790343
702980905,0.00650971988216043
702983154,0.00653522554785013
703000981,0.00679436884820461
703003134,0.00687294127419591
703005968,0.00689850701019168
703023248,0.0071991877630353
703025763,0.00736136920750141
703041144,0.00755835184827447
703043138,0.00752857327461243
703045760,0.00749055435881019
703058773,0.0074996710754931
703060829,0.0075328373350203
703063195,0.00749922357499599
703065769,0.00758927315473557
703080911,0.00754395732656121
703083174,0.00744965393096209
703100993,0.0072664930485189
703103255,0.00725411344319582
703121100,0.00703089404851198
703123235,0.00692703807726502
703125760,0.00695893727242947
703141154,0.00711173564195633
703143254,0.00720917480066419
703161015,0.00536850234493613
703163341,0.00525567308068275
703165761,0.00524782808497548
703180699,0.00519910547882319
703183411,0.00520377047359943
703185902,0.00506656570360065
703188345,0.00495722610503435
703200706,0.00480391643941402
703220699,0.00507485447451472
703223574,0.00500923907384276
703238225,0.00525824865326285
703240919,0.00521772541105747
703243389,0.00522879650816321
703245758,0.00531044229865074
703263486,0.00492329150438309
703278196,0.00494851637631655
703280749,0.00497292028740048
703283117,0.00500780344009399
703285841,0.00495936162769794
703300721,0.00513620395213366
703303198,0.00510424375534058
703305969,0.00522331893444061
703320701,0.00546548655256629
703323669,0.00556144397705793
703325855,0.00557926390320063
703340809,0.00561375357210636
703360705,0.00563072087243199
703363246,0.00566898705437779
703365793,0.00555877899751067
703380706,0.00563659239560366
703383130,0.00565494038164616
703385859,0.00571269355714321
703400698,0.00711979577317834
703403214,0.00707308249548078
703420771,0.00701027922332287
703423235,0.00699668377637863
703443209,0.0068145589902997
703445810,0.00678930897265673
703448635,0.00682637142017484
703450699,0.00684911571443081
703458743,0.00676202680915594
703460698,0.00683714030310512
703463288,0.00682572973892093
703478826,0.00685860216617584
703480697,0.00687395222485065
703483371,0.00687201041728258
703500718,0.00682740332558751
703503248,0.00682797702029347
703505991,0.00671120453625917
703520759,0.00625996105372906
703523439,0.00619176868349314
703525866,0.00614998396486044
703538874,0.00600594189018011
703540813,0.00602028332650661
703543407,0.00597826018929482
703560676,0.00621402217075229
703563416,0.00769747514277697
703565735,0.00776432594284415
703580700,0.00867451820522547
703583166,0.00875957775861025
703585768,0.00896660890430212
703588721,0.00916731264442205
703600757,0.00986743811517954
703603173,0.0100439097732306
703620930,0.0106703285127878
703623325,0.0106797302141786
703643306,0.0104595674201846
703645910,0.0103297689929605
703648488,0.0102249104529619
703655917,0.010000885464251
703678611,0.0082514826208353
703680701,0.00807035900652409
703683280,0.00788770709186792
703700814,0.00680740224197507
703703362,0.00669851526618004
703706015,0.00673160515725613
703720679,0.00658769486472011
703723416,0.00649709161370993
703726153,0.00648224633187056
703728594,0.00655911490321159
703748221,0.00675287470221519
703750704,0.00685456674546003
703760679,0.00741698499768972
703763467,0.00485875084996223
703780699,0.00629671383649111
703783127,0.00645584426820278
703800700,0.00758712459355593
703803136,0.00775607395917177
703820701,0.0079571483656764
703823229,0.00802837591618299
703826160,0.00796154607087374
703828224,0.00795779097825289
703840914,0.00791419856250286
703843143,0.00782060623168945
703846314,0.00783282425254583
703863161,0.00708673615008593
703866411,0.00696157664060593
703868213,0.00690800976008177
703880715,0.00631415843963623
703883133,0.0062234764918685
703900779,0.00531078968197107
703903136,0.00518034351989627
703920699,0.00492082815617323
703923225,0.00502040889114141
703940806,0.00515583902597427
703943168,0.00523888831958175
703960685,0.00568636832758784
703963169,0.00583814457058907
703980702,0.00616519944742322
703983134,0.00630428129807115
704000722,0.00709147984161973
704003135,0.00712375715374947
704006060,0.00713130878284574
704020791,0.00733018759638071
704023227,0.00729760155081749
704043126,0.00659970473498106
704058262,0.0060396152548492
704060705,0.00596032757312059
704078185,0.00538103608414531
704080758,0.00525893922895193
704083153,0.00521527184173465
704100776,0.0055781383998692
704103164,0.00565140368416905
704106089,0.0056742699816823
704120844,0.00614582188427448
704123259,0.00619436940178275
704140942,0.00670848274603486
704143167,0.00673984037712216
704160836,0.00651953322812915
704163261,0.00660054013133049
704166158,0.00421351008117199
704168210,0.00421244418248534
704180723,0.00407366501167417
704183352,0.0040640258230269
704185952,0.00399224413558841
704200700,0.00409809267148376
704203395,0.00415665609762073
704206035,0.00411309115588665
704220703,0.00435527879744768
704223518,0.00436871871352196
704225801,0.00438352348282933
704228395,0.00446777883917093
704238510,0.00458221510052681
704240909,0.00472118752077222
704258605,0.00483826873824
704260705,0.00471223192289472
704263572,0.00478752190247178
704280703,0.00498579069972038
704283328,0.00496804295107722
704286044,0.00484152417629957
704300702,0.0050160214304924
704303341,0.00514800567179918
704306060,0.00516251102089882
704308405,0.00512985279783607
704320703,0.00520885922014713
704323402,0.00509269256144762
704340822,0.00454979110509157
704343144,0.00449924357235432
704345943,0.00440510315820575
704360703,0.00408937642350793
704363184,0.00409016758203506
704365982,0.00408057775348425
704380686,-0.000522424408700317
704383171,-0.000556120008695871
704386006,-0.000584589783102274
704400704,-0.00058350496692583
704403167,-0.000670933455694467
704406229,-0.000653360853902996
704408292,-0.00063467217842117
704418614,-0.000637394085060805
704420808,-0.000611204479355365
704423156,-0.000676909345202148
704438689,-0.000334713084157556
704440824,-0.000345730048138648
704443187,-0.000169547682162374
704458799,0.000582598731853068
704460708,0.000591073592659086
704463202,0.00061354017816484
704465840,0.000633240677416325
704478766,0.000707859580870718
704480709,0.000750571663957089
704500708,0.000313838885631412
704503140,0.000226697360631078
704505972,0.000186473887879401
704520734,0.000234672974329442
704523230,0.000266748131252825
704525817,0.00027948128990829
704540822,0.000668725406285375
704560683,-0.00194519758224487
704563230,-0.00190912815742195
704565846,-0.00193129596300423
704580813,-0.00171613285783678
704583160,-0.00175419333390892
704585893,-0.00172508577816188
704600801,-0.001749312505126
704603250,-0.00183412036858499
704605898,-0.00198526261374354
704623165,-0.00245993910357356
704625937,-0.00257403240539134
704638570,-0.00308749102987349
704640775,-0.00322368973866105
704660715,-0.00392415793612599
704663193,-0.00399151491001248
704680766,-0.00432122871279716
704703210,-0.00408533262088895
704705965,-0.00410738261416554
704720717,-0.00386513071134686
704723355,-0.0037884246557951
704740718,-0.00292144971899688
704760716,-0.00213207746855915
704763290,-0.00205536838620901
704765753,-0.00205420120619237
704780774,-0.00206814869306982
704783137,-0.00212683994323015
704786142,-0.00214729108847678
704800719,-0.00248743151314557
704803199,-0.00245046010240912
704805766,-0.0024571584071964
704823136,-0.00315343379043043
704825815,-0.00321783404797316
